"id","year","conflict_new_id","type_of_violence","side_a","side_b","latitude","longitude","country","country_id","dyad_name","deaths_a","deaths_b","deaths_civilians"
154950,2014,333,1,"Government of Afghanistan","Taleban",35.0995,70.9385,"Afghanistan",700,"Government of Afghanistan - Taleban",0,3,0
154951,2014,333,1,"Government of Afghanistan","Taleban",36.75,68.75,"Afghanistan",700,"Government of Afghanistan - Taleban",0,6,0
154953,2014,333,1,"Government of Afghanistan","Taleban",34.783333,70.183333,"Afghanistan",700,"Government of Afghanistan - Taleban",0,6,0
154954,2014,333,1,"Government of Afghanistan","Taleban",34.95,71.133333,"Afghanistan",700,"Government of Afghanistan - Taleban",0,6,0
154955,2014,333,1,"Government of Afghanistan","Taleban",35.0,68.91667,"Afghanistan",700,"Government of Afghanistan - Taleban",0,6,0
154956,2014,333,1,"Government of Afghanistan","Taleban",34.25,68.0,"Afghanistan",700,"Government of Afghanistan - Taleban",0,5,0
154957,2014,333,1,"Government of Afghanistan","Taleban",35.833333,66.166667,"Afghanistan",700,"Government of Afghanistan - Taleban",0,5,0
164675,2009,514,3,"Taleban","Civilians",33.33333,67.75,"Afghanistan",700,"Taleban - Civilians",0,0,0
154958,2014,333,1,"Government of Afghanistan","Taleban",36.83333,65.83333,"Afghanistan",700,"Government of Afghanistan - Taleban",0,5,0
154959,2014,333,1,"Government of Afghanistan","Taleban",36.75,67.0,"Afghanistan",700,"Government of Afghanistan - Taleban",0,5,0
154960,2014,333,1,"Government of Afghanistan","Taleban",31.0,65.75,"Afghanistan",700,"Government of Afghanistan - Taleban",0,5,0
154961,2014,333,1,"Government of Afghanistan","Taleban",32.83333,66.0,"Afghanistan",700,"Government of Afghanistan - Taleban",0,5,0
154962,2014,333,1,"Government of Afghanistan","Taleban",33.383334,69.883334,"Afghanistan",700,"Government of Afghanistan - Taleban",0,5,0
154963,2014,333,1,"Government of Afghanistan","Taleban",35.86721,64.554077,"Afghanistan",700,"Government of Afghanistan - Taleban",0,1,0
155023,2014,333,1,"Government of Afghanistan","Taleban",32.716667,67.633333,"Afghanistan",700,"Government of Afghanistan - Taleban",0,0,0
155027,2014,333,1,"Government of Afghanistan","Taleban",34.189706,70.830429,"Afghanistan",700,"Government of Afghanistan - Taleban",0,4,0
155047,2014,333,1,"Government of Afghanistan","Taleban",34.24535,70.728104,"Afghanistan",700,"Government of Afghanistan - Taleban",1,2,2
155030,2014,333,1,"Government of Afghanistan","Taleban",32.120374,64.994325,"Afghanistan",700,"Government of Afghanistan - Taleban",5,4,0
155031,2014,333,1,"Government of Afghanistan","Taleban",34.034,68.7433,"Afghanistan",700,"Government of Afghanistan - Taleban",0,1,0
155059,2014,333,1,"Government of Afghanistan","Taleban",32.94021,69.296374,"Afghanistan",700,"Government of Afghanistan - Taleban",0,1,0
155060,2014,333,1,"Government of Afghanistan","Taleban",32.1183,64.8825,"Afghanistan",700,"Government of Afghanistan - Taleban",0,0,28
155067,2015,333,1,"Government of Afghanistan","Taleban",34.428844,70.45575,"Afghanistan",700,"Government of Afghanistan - Taleban",1,0,0
155068,2014,333,1,"Government of Afghanistan","Taleban",33.186133,69.74619,"Afghanistan",700,"Government of Afghanistan - Taleban",0,1,0
155069,2014,333,1,"Government of Afghanistan","Taleban",35.000833,71.437913,"Afghanistan",700,"Government of Afghanistan - Taleban",2,6,0
155070,2014,333,1,"Government of Afghanistan","Taleban",31.640454,65.397591,"Afghanistan",700,"Government of Afghanistan - Taleban",0,3,0
155079,2014,333,1,"Government of Afghanistan","Taleban",31.984,63.266,"Afghanistan",700,"Government of Afghanistan - Taleban",2,3,0
155134,2015,333,1,"Government of Afghanistan","Taleban",33.995289,69.02274,"Afghanistan",700,"Government of Afghanistan - Taleban",4,0,0
155116,2014,333,1,"Government of Afghanistan","Taleban",34.393849,70.274439,"Afghanistan",700,"Government of Afghanistan - Taleban",0,5,0
155119,2015,333,1,"Government of Afghanistan","Taleban",31.579996,64.377396,"Afghanistan",700,"Government of Afghanistan - Taleban",1,0,3
155123,2015,333,1,"Government of Afghanistan","Taleban",34.281645,69.770149,"Afghanistan",700,"Government of Afghanistan - Taleban",0,3,0
155128,2015,333,1,"Government of Afghanistan","Taleban",37.105713,68.851658,"Afghanistan",700,"Government of Afghanistan - Taleban",2,4,1
155129,2015,333,1,"Government of Afghanistan","Taleban",31.829363,64.608526,"Afghanistan",700,"Government of Afghanistan - Taleban",0,0,1
155130,2015,333,1,"Government of Afghanistan","Taleban",36.6816,68.8426,"Afghanistan",700,"Government of Afghanistan - Taleban",0,8,0
155131,2015,333,1,"Government of Afghanistan","Taleban",32.97821,69.371819,"Afghanistan",700,"Government of Afghanistan - Taleban",0,18,0
155139,2015,333,1,"Government of Afghanistan","Taleban",33.15664,69.491204,"Afghanistan",700,"Government of Afghanistan - Taleban",0,7,0
155141,2015,333,1,"Government of Afghanistan","Taleban",33.97,68.9911,"Afghanistan",700,"Government of Afghanistan - Taleban",5,0,0
155143,2015,333,1,"Government of Afghanistan","Taleban",33.959999,68.923294,"Afghanistan",700,"Government of Afghanistan - Taleban",0,0,0
155145,2015,333,1,"Government of Afghanistan","Taleban",32.801094,67.763588,"Afghanistan",700,"Government of Afghanistan - Taleban",1,12,0
155146,2015,333,1,"Government of Afghanistan","Taleban",34.9494,69.619,"Afghanistan",700,"Government of Afghanistan - Taleban",0,2,0
155149,2015,333,1,"Government of Afghanistan","Taleban",35.227695,71.028372,"Afghanistan",700,"Government of Afghanistan - Taleban",1,0,0
155150,2015,333,1,"Government of Afghanistan","Taleban",33.1868,67.8467,"Afghanistan",700,"Government of Afghanistan - Taleban",2,0,0
155158,2015,333,1,"Government of Afghanistan","Taleban",36.654765,68.566036,"Afghanistan",700,"Government of Afghanistan - Taleban",0,1,0
155159,2015,333,1,"Government of Afghanistan","Taleban",36.526905,68.885924,"Afghanistan",700,"Government of Afghanistan - Taleban",0,1,0
155160,2015,333,1,"Government of Afghanistan","Taleban",32.10368,66.905121,"Afghanistan",700,"Government of Afghanistan - Taleban",0,1,2
155169,2015,333,1,"Government of Afghanistan","Taleban",36.48741,70.35226,"Afghanistan",700,"Government of Afghanistan - Taleban",0,3,0
212680,2015,333,1,"Government of Afghanistan","Taleban",36.25,64.83333,"Afghanistan",700,"Government of Afghanistan - Taleban",0,1,0
158742,2007,333,1,"Government of Afghanistan","Taleban",32.1101,64.8779,"Afghanistan",700,"Government of Afghanistan - Taleban",0,5,0
156632,2014,333,1,"Government of Afghanistan","Taleban",34.0518,64.69249,"Afghanistan",700,"Government of Afghanistan - Taleban",0,2,0
164816,2010,333,1,"Government of Afghanistan","Taleban",33.33333,67.75,"Afghanistan",700,"Government of Afghanistan - Taleban",0,0,2
164827,2010,333,1,"Government of Afghanistan","Taleban",32.83333,66.0,"Afghanistan",700,"Government of Afghanistan - Taleban",0,2,0
164849,2009,333,1,"Government of Afghanistan","Taleban",34.69149,69.923691,"Afghanistan",700,"Government of Afghanistan - Taleban",0,5,0
157826,2006,333,1,"Government of Afghanistan","Taleban",32.3454,64.756,"Afghanistan",700,"Government of Afghanistan - Taleban",0,5,0
157827,2006,333,1,"Government of Afghanistan","Taleban",32.465816,64.737566,"Afghanistan",700,"Government of Afghanistan - Taleban",0,5,0
165743,2009,333,1,"Government of Afghanistan","Taleban",34.011698,69.073448,"Afghanistan",700,"Government of Afghanistan - Taleban",1,0,0
158692,2013,333,1,"Government of Afghanistan","Taleban",31.752098,64.711296,"Afghanistan",700,"Government of Afghanistan - Taleban",0,1,0
165768,2009,333,1,"Government of Afghanistan","Taleban",36.818665,68.685173,"Afghanistan",700,"Government of Afghanistan - Taleban",1,12,3
158740,2007,333,1,"Government of Afghanistan","Taleban",32.120374,64.994325,"Afghanistan",700,"Government of Afghanistan - Taleban",0,10,0
158805,2008,333,1,"Government of Afghanistan","Taleban",33.240272,62.217169,"Afghanistan",700,"Government of Afghanistan - Taleban",0,7,0
158806,2014,333,1,"Government of Afghanistan","Taleban",36.7933,66.3344,"Afghanistan",700,"Government of Afghanistan - Taleban",0,1,0
166156,2010,333,1,"Government of Afghanistan","Taleban",33.75,66.25,"Afghanistan",700,"Government of Afghanistan - Taleban",0,0,1
171901,2011,333,1,"Government of Afghanistan","Taleban",32.5,62.5,"Afghanistan",700,"Government of Afghanistan - Taleban",0,1,0
167642,2010,333,1,"Government of Afghanistan","Taleban",35.97744,65.378281,"Afghanistan",700,"Government of Afghanistan - Taleban",3,0,0
169559,2011,333,1,"Government of Afghanistan","Taleban",34.750462,71.118319,"Afghanistan",700,"Government of Afghanistan - Taleban",0,2,0
212682,2015,333,1,"Government of Afghanistan","Taleban",31.0,64.0,"Afghanistan",700,"Government of Afghanistan - Taleban",0,1,0
167747,2010,333,1,"Government of Afghanistan","Taleban",31.0,65.75,"Afghanistan",700,"Government of Afghanistan - Taleban",0,2,0
168022,2010,333,1,"Government of Afghanistan","Taleban",33.318041,69.776604,"Afghanistan",700,"Government of Afghanistan - Taleban",0,0,1
168046,2010,333,1,"Government of Afghanistan","Taleban",33.383334,69.883334,"Afghanistan",700,"Government of Afghanistan - Taleban",0,3,0
162064,1990,333,1,"Government of Afghanistan","Hizb-i Islami-yi Afghanistan",34.364943,69.433654,"Afghanistan",700,"Government of Afghanistan - Hizb-i Islami-yi Afghanistan",0,35,0
162077,1998,333,1,"Government of Afghanistan","UIFSA",34.5,69.416667,"Afghanistan",700,"Government of Afghanistan - UIFSA",4,0,0
162205,1995,333,1,"Government of Afghanistan","Hizb-i Islami-yi Afghanistan",34.556073,69.707238,"Afghanistan",700,"Government of Afghanistan - Hizb-i Islami-yi Afghanistan",0,1,0
168296,2010,333,1,"Government of Afghanistan","Taleban",35.3,70.833333,"Afghanistan",700,"Government of Afghanistan - Taleban",1,0,0
169696,2011,333,1,"Government of Afghanistan","Taleban",34.927257,69.811474,"Afghanistan",700,"Government of Afghanistan - Taleban",0,2,0
